Folder   CrystalOptimizer_Utot (kJ/mol)   CrystalOptimizer_Density (g/cm3)
451        -60.08298                      1.322600                      
452        -60.08232                      1.152800                      
453        -60.06676                      1.165500                      
454        -60.06254                      1.212800                      
455        -60.05732                      1.249700                      
456        -60.03819                      1.119200                      
457        -60.03308                      1.304400                      
458        -60.01358                      1.292500                      
459        -60.01294                      1.212300                      
460        -60.00219                      1.241200                      
461        -60.00047                      1.201600                      
462        -59.98342                      1.252500                      
463        -59.97865                      1.229300                      
464        -59.96731                      1.283200                      
465        -59.92128                      1.263700                      
466        -59.91558                      1.239600                      
467        -59.91412                      1.279600                      
468        -59.90075                      1.276000                      
469        -59.89137                      1.273500                      
470        -59.88902                      1.259900                      
471        -59.86205                      1.279300                      
472        -59.84626                      1.189600                      
473        -59.83542                      1.234100                      
474        -59.83358                      1.242100                      
475        -59.82048                      1.226100                      
476        -59.81283                      1.227400                      
477        -59.79904                      1.310400                      
478        -59.78231                      1.276900                      
479        -59.75957                      1.123200                      
480        -59.75470                      1.330300                      
481        -59.74699                      1.294000                      
482        -59.73449                      1.180900                      
483        -59.73376                      1.288000                      
484        -59.71942                      1.217000                      
485        -59.70958                      1.253300                      
486        -59.69656                      1.325800                      
487        -59.69491                      1.288500                      
488        -59.67613                      1.247500                      
489        -59.65590                      1.228500                      
490        -59.64651                      1.211000                      
491        -59.61871                      1.315600                      
492        -59.59990                      1.103800                      
493        -59.55684                      1.297700                      
494        -59.55223                      1.201300                      
495        -59.53302                      1.383100                      
496        -59.52843                      1.283500                      
497        -59.51087                      1.261000                      
498        -59.50856                      1.215200                      
499        -59.50541                      1.231300                      
500        -59.50165                      1.161800                      
501        -59.49591                      1.124200                      
502        -59.49100                      1.232400                      
503        -59.47776                      1.281100                      
504        -59.47476                      1.240700                      
505        -59.47272                      1.270000                      
506        -59.47075                      1.309600                      
507        -59.46725                      1.273500                      
508        -59.45800                      1.202800                      
509        -59.45398                      1.156400                      
510        -59.44835                      1.283200                      
511        -59.41720                      1.211300                      
512        -59.39815                      1.251600                      
513        -59.39647                      1.229600                      
514        -59.39633                      1.266800                      
515        -59.39242                      1.253700                      
516        -59.38800                      1.228400                      
