Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
428	-57.1293	1.3293
429	-57.1238	1.2287
430	-57.1229	1.2022
431	-57.1119	1.3068
432	-57.1088	1.1852
433	-57.0736	1.2435
434	-57.0299	1.2477
435	-57.0246	1.2281
436	-57.0200	1.2461
437	-57.0133	1.2347
438	-56.9934	1.2492
439	-56.9892	1.2110
440	-56.9580	1.1774
441	-56.9512	1.2280
442	-56.9400	1.2229
443	-56.9348	1.2487
444	-56.9217	1.2139
445	-56.9067	1.2701
446	-56.9063	1.2466
447	-56.8996	1.2263
448	-56.8715	1.2643
449	-56.8490	1.2265
450	-56.8446	1.2436
451	-56.8405	1.2718
452	-56.7877	1.2145
453	-56.7693	1.1963
454	-56.7496	1.1397
455	-56.7480	1.2092
456	-56.7428	1.2114
457	-56.7351	1.2977
458	-56.7339	1.2315
459	-56.7327	1.2255
460	-56.7081	1.2098
461	-56.7027	1.2163
462	-56.6631	1.2397
463	-56.6432	1.1480
464	-56.6239	1.2487
465	-56.6064	1.1455
466	-56.6036	1.1896
467	-56.6026	1.2201
468	-56.5947	1.2234
469	-56.5794	1.2900
470	-56.5775	1.3180
471	-56.5775	1.2489
472	-56.5765	1.2958
473	-56.5753	1.2281
474	-56.5582	1.2212
475	-56.5369	1.2205
476	-56.5330	1.1730
477	-56.5302	1.2937
478	-56.5172	1.2541
479	-56.4974	1.2132
480	-56.4971	1.2494
481	-56.4703	1.2468
482	-56.4701	1.1669
483	-56.4615	1.2995
484	-56.4519	1.1933
485	-56.4466	1.2897
486	-56.4464	1.2917
487	-56.4206	1.2305
488	-56.4177	1.2140
489	-56.4126	1.2552
490	-56.4043	1.2498
491	-56.4037	1.2623
492	-56.3975	1.3270
493	-56.3957	1.2118
494	-56.3880	1.2460
495	-56.3790	1.2018
496	-56.3749	1.1926
497	-56.3746	1.2788
498	-56.3511	1.2304
499	-56.3483	1.1762
500	-56.3470	1.1762
501	-56.3403	1.1597
502	-56.3082	1.2497
503	-56.3033	1.2241
504	-56.2979	1.2050
505	-56.2924	1.1812
506	-56.2886	1.2380
507	-56.2789	1.1813
508	-56.2784	1.2352
509	-56.2453	1.3240
510	-56.2260	1.2024
511	-56.2134	1.2779
512	-56.1887	1.2900
513	-56.1868	1.2002
514	-56.1858	1.3294
515	-56.1724	1.2028
